,Year,Make,Model,Fuel Type,City MPG,Highway MPG,Combined MPG,Annual Fuel Cost,Tailpipe CO2
0,2010,Honda,Insight,Regular,40,43,41,850,216.7560976
1,2016,Dodge,Ram 1500 Pickup 4WD,Gasoline or E85,14,19,16,2200,555.4375
2,2014,Chevrolet,Silverado C15 2WD,Gasoline or E85,16,23,19,1850,476
3,2017,Infiniti,Q70,Premium,16,24,19,2250,464
4,2011,Chevrolet,Impala,Gasoline or E85,19,29,23,1500,386.3913043
5,2008,Toyota,Tacoma 2WD,Regular,16,20,18,1950,493.7222222
6,2013,Nissan,Sentra,Regular,29,38,33,1050,273
7,2017,Land Rover,Range Rover Evoque,Premium,21,29,24,1750,372
8,2001,Mercedes-Benz,SLK320,Premium,18,25,21,2000,423.1904762
9,2008,Ford,F150 Pickup 4WD FFV,Gasoline or E85,13,17,15,2350,592.4666667
10,2017,BMW,330i,Premium,21,32,25,1700,360
